End Products
Sample,Barcode,"",Glucose Avg(g/L),Xylose Avg(g/L),Pyruvate Avg(g/L),Xylitol Avg(g/L),Succinate Avg(g/L),Lactate Avg(g/L),Glycerol Avg(g/L),Formate Avg(g/L),Acetate Avg(g/L),Ethanol Avg(g/L),Cellobiose Avg(g/L)
20200203-f-193,I0043714,"",12.7217948191999990992,0.0,0.0,0.0,0.0,0.1274550928,0.2932348198,0.7190493596,0.0,0.0498426723,0.0
20200203-f-194,I0044145,"",14.7715625167999981984,0.47192539785,0.0,0.0,0.0,0.1276947056,0.2936252814,0.7201830785,0.0,0.0490944955,0.0
20200203-f-196,I0043752,"",0.0,0.1727425806,0.0,0.0,0.0,0.0636964688,0.3032578954,0.7237163413,0.0,0.0478109852999999976965,0.0
20200203-f-200,I0047801,"",21.1034460592,0.0,0.0,0.0,0.0,0.1305137592,0.2968272507,0.7189784734,0.0,0.04954068345,0.0
20200203-f-202,I0047826,"",14.5423296352,0.0,0.0,0.0,0.0,0.0636644904,0.2969193407,0.71962680595,0.0,0.0447415715499999976965,0.0
20200203-f-203,I0047846,"",18.3934820416,0.0,0.0,0.0,0.0,0.1283140056,0.2948114006,0.7243593804,0.02365036942,0.39942597860000004607,0.0
20200203-f-204,I0047564,"",21.5256411104,0.0,0.0,0.0,0.0,0.127422664,0.29317910535,0.72165396715,0.0,0.04474157155,0.0
20200203-f-205,I0047840,"",6.733461984,0.0,0.0,0.0,0.0,0.0,0.3216758954,0.3596986732,1.77245571134,0.475719280700000023035,0.0
20200203-f-211,I0047636,"",0.143566801599999990992,0.1895526367,0.0,0.0,0.0,0.0877892656,0.53269506545,0.0,0.0,0.15118722795,0.0
20200203-f-212,I0047849,"",0.0,0.1908978015,0.0,0.0,0.0,0.1989425808,0.46429521795,0.0,0.0,0.0884189261,0.0
20200203-f-213,I0047821,"",0.168350512,0.17410651165,0.0,0.0,0.0,0.1320365616,0.29255473515,0.7251644451,0.0,0.18394806565,0.0
20200203-f-214,I0047590,"",0.0,0.1821842563,0.0,0.0,0.0,0.1792380312,0.40243928585,0.0,0.0,2.8910403847,0.0
20200203-f-215,I0047808,"",14.9589253135999990992,0.0,0.0,0.0,0.0,0.0,0.6195658647,0.0,0.0,0.0847130553,0.0
20200203-f-216,I0047592,"",22.1300544896,0.0,0.0,0.0,0.0,0.12759832,0.2942008439,0.72144821305,0.0,0.0446913552500000023035,0.0
20200203-BL-BL,I0047502,"",23.5043464976,0.0,0.0,0.0,0.0,0.1278176648,0.2923452304,0.72276282985,0.0,0.0444768993999999976965,0.0

Technical Replicate Summary
Sample,Barcode,Transfer_Sample,Glucose(g/L),Xylose(g/L),Pyruvate(g/L),Xylitol(g/L),Succinate(g/L),Lactate(g/L),Glycerol(g/L),Formate(g/L),Acetate(g/L),Ethanol(g/L),Cellobiose(g/L)
20200203-f-193,I0043714,T0052109,12.6737155199999981984,0.0,0.0,0.0,0.0,0.1274388784,0.2933075709,0.7189909015,0.0,0.0534656171,0.0
20200203-f-193,I0043714,T0052110,12.7698741184,0.0,0.0,0.0,0.0,0.1274713072,0.2931620687,0.7191078177,0.0,0.0462197275,0.0
20200203-f-194,I0044145,T0052111,14.8065360768,0.4738973554,0.0,0.0,0.0,0.1278748656,0.2929824932,0.7212689262,0.0,0.053749869,0.0
20200203-f-194,I0044145,T0052112,14.7365889567999963968,0.4699534403,0.0,0.0,0.0,0.1275145456,0.2942680696,0.7190972308,0.0,0.044439122,0.0
20200203-f-196,I0043752,T0052113,0.0,0.1730533497,0.0,0.0,0.0,0.1273929376,0.3017338059,0.7244367108,0.0,0.0502268961,0.0
20200203-f-196,I0043752,T0052114,0.0,0.1724318115,0.0,0.0,0.0,0.0,0.3047819849,0.7229959718,0.0,0.045395074499999995393,0.0
20200203-f-200,I0047801,T0052116,21.1320671776,0.0,0.0,0.0,0.0,0.1326707248,0.2965141447,0.7189577599,0.0,0.05459295,0.0
20200203-f-200,I0047801,T0052115,21.0748249408,0.0,0.0,0.0,0.0,0.1283567936,0.2971403567,0.7189991869,0.0,0.0444884169,0.0
20200203-f-202,I0047826,T0052117,14.5310191904,0.0,0.0,0.0,0.0,0.0,0.2965730823,0.7190613274,0.0,0.0447676011,0.0
20200203-f-202,I0047826,T0052118,14.55364008,0.0,0.0,0.0,0.0,0.1273289808,0.2972655991,0.7201922845,0.0,0.044715541999999995393,0.0
20200203-f-203,I0047846,T0052119,18.3306746624,0.0,0.0,0.0,0.0,0.1289378096,0.2956042955,0.7245711184,0.01875945968,0.40360452760000004607,0.0
20200203-f-203,I0047846,T0052120,18.4562894208,0.0,0.0,0.0,0.0,0.1276902016,0.2940185057,0.7241476424,0.02854127916,0.39524742960000004607,0.0
20200203-f-204,I0047564,T0052121,21.54664056,0.0,0.0,0.0,0.0,0.1274460848,0.2934411014,0.7214493638,0.0,0.0448965971,0.0
